depth,row,col,tx,ty,tz,ik_err_m,isaac_tip_x,isaac_tip_y,isaac_tip_z,isaac_vs_target_m,joint_deviation_rad,self_collision,penetration_m,pocket_hit,pocket_pts,collision_pairs
0.3,0,2,0.4133,0.15,0.2442,8e-05,0.4361,0.115,0.233,0.0433,0.11569,1,0.0,0,0,right_shoulder_roll_link|torso_link;right_shoulder_yaw_link|torso_link
0.3,0,3,0.4133,0.09,0.2442,4e-05,0.4191,0.0794,0.2393,0.0131,0.04451,1,0.0,1,10,right_shoulder_roll_link|torso_link;right_shoulder_yaw_link|torso_link
0.3,0,4,0.4133,0.03,0.2442,8e-05,0.4133,0.03,0.2442,0.0001,0.0,1,0.0,1,46,right_shoulder_yaw_link|torso_link
0.3,0,5,0.4133,-0.03,0.2442,3e-05,0.4133,-0.03,0.2442,0.0,0.0,0,0.0,1,36,
0.3,0,6,0.4133,-0.09,0.2442,6e-05,0.4133,-0.09,0.2442,0.0,0.0,0,0.0,0,0,
0.3,0,7,0.4133,-0.15,0.2442,6e-05,0.4133,-0.15,0.2442,0.0,0.0,0,0.0,0,0,
0.3,0,8,0.4133,-0.21,0.2442,8e-05,0.4133,-0.21,0.2442,0.0001,0.0,0,0.0,0,0,
0.3,0,9,0.4133,-0.27,0.2442,4e-05,0.4133,-0.27,0.2442,0.0,0.0,0,0.0,0,0,
0.3,1,2,0.4022,0.15,0.2124,9e-05,0.4267,0.1111,0.197,0.0485,0.13907,1,5e-05,0,0,right_shoulder_roll_link|torso_link;right_shoulder_yaw_link|torso_link
0.3,1,3,0.4022,0.09,0.2124,6e-05,0.4097,0.0766,0.2101,0.0156,0.06944,1,1e-05,1,46,right_shoulder_yaw_link|torso_link
0.3,1,4,0.4022,0.03,0.2124,4e-05,0.404,0.0251,0.2093,0.0061,0.02752,1,0.0,1,72,right_shoulder_yaw_link|torso_link
0.3,1,5,0.4022,-0.03,0.2124,3e-05,0.4021,-0.03,0.2124,0.0001,0.0,1,0.0,1,22,right_shoulder_yaw_link|torso_link
0.3,1,6,0.4022,-0.09,0.2124,3e-05,0.4021,-0.09,0.2124,0.0001,0.0,0,0.0,0,0,
0.3,1,7,0.4022,-0.15,0.2124,3e-05,0.4021,-0.15,0.2124,0.0001,0.0,0,0.0,0,0,
0.3,1,8,0.4022,-0.21,0.2124,9e-05,0.4021,-0.21,0.2124,0.0001,0.0,0,0.0,0,0,
0.3,1,9,0.4022,-0.27,0.2124,7e-05,0.4021,-0.27,0.2124,0.0001,0.0,0,0.0,0,0,
