depth,row,col,u,v,tx,ty,tz,reach_ok,in_ws_box,converged,err_m,joint_margin_rad,max_joint_rad,q0,q1,q2,q3,q4,q5,q6
0.2,0,0,32.0,18.0,0.204,0.1004,0.2165,1,1,1,6e-05,0.6779,0.6569,0.110326,0.000862,0.656934,-0.369266,-0.020026,-0.335455,0.472437
0.2,0,1,96.0,18.0,0.204,0.0781,0.2165,1,1,1,8e-05,0.6328,0.6121,0.184337,-0.03356,0.612122,-0.414359,-0.004214,-0.388275,0.479913
0.2,0,2,160.0,18.0,0.204,0.0558,0.2165,1,1,1,9e-05,0.5909,0.5653,0.259455,-0.062842,0.565345,-0.456264,0.0077,-0.440269,0.478213
0.2,0,3,224.0,18.0,0.204,0.0335,0.2165,1,1,1,3e-05,0.5525,0.5168,0.335404,-0.086723,0.51683,-0.494749,0.01578,-0.491337,0.467101
0.2,0,4,288.0,18.0,0.204,0.0112,0.2165,1,1,1,5e-05,0.5182,0.5405,0.410635,-0.104047,0.467181,-0.529029,0.019889,-0.540462,0.446302
0.2,0,5,352.0,18.0,0.204,-0.0112,0.2165,1,1,1,6e-05,0.4885,0.587,0.483895,-0.11434,0.41697,-0.55874,0.020071,-0.586991,0.415969
0.2,0,6,416.0,18.0,0.204,-0.0335,0.2165,1,1,1,8e-05,0.4637,0.6298,0.553174,-0.117038,0.366876,-0.583489,0.016336,-0.6298,0.376473
0.2,0,7,480.0,18.0,0.204,-0.0558,0.2165,1,1,1,4e-05,0.444,0.6678,0.616383,-0.112074,0.317436,-0.603158,0.008839,-0.667769,0.328546
0.2,0,8,544.0,18.0,0.204,-0.0781,0.2165,1,1,1,4e-05,0.4295,0.6989,0.670235,-0.099391,0.269091,-0.617683,-0.002202,-0.698902,0.273126
0.2,0,9,608.0,18.0,0.204,-0.1004,0.2165,1,1,1,5e-05,0.4198,0.7219,0.712413,-0.080016,0.221766,-0.627436,-0.016113,-0.721853,0.211609
0.2,1,0,32.0,54.0,0.204,0.1039,0.2048,1,1,1,6e-05,0.6928,0.665,0.134437,1e-06,0.665033,-0.354396,-0.014604,-0.321005,0.481944
0.2,1,1,96.0,54.0,0.204,0.0808,0.2048,1,1,1,8e-05,0.6454,0.6189,0.212007,-0.035971,0.618881,-0.401775,0.00239,-0.374874,0.49082
0.2,1,2,160.0,54.0,0.204,0.0577,0.2048,1,1,1,9e-05,0.6014,0.5708,0.290818,-0.066399,0.57078,-0.445821,0.015078,-0.427927,0.489806
0.2,1,3,224.0,54.0,0.204,0.0346,0.2048,1,1,1,4e-05,0.5609,0.521,0.370519,-0.090997,0.520994,-0.486285,0.023498,-0.480052,0.478626
0.2,1,4,288.0,54.0,0.204,0.0115,0.2048,1,1,1,5e-05,0.5249,0.5302,0.44944,-0.108556,0.470176,-0.522324,0.027483,-0.530189,0.456973
0.2,1,5,352.0,54.0,0.204,-0.0115,0.2048,1,1,1,6e-05,0.4937,0.5776,0.526136,-0.118564,0.418956,-0.553519,0.027057,-0.577612,0.425013
0.2,1,6,416.0,54.0,0.204,-0.0346,0.2048,1,1,1,8e-05,0.4678,0.6211,0.598341,-0.120438,0.368061,-0.579421,0.022225,-0.621091,0.383157
0.2,1,7,480.0,54.0,0.204,-0.0577,0.2048,1,1,1,4e-05,0.4473,0.6637,0.663673,-0.114142,0.318038,-0.599875,0.013174,-0.659378,0.33223
0.2,1,8,544.0,54.0,0.204,-0.0808,0.2048,1,1,1,4e-05,0.4324,0.7185,0.71855,-0.099714,0.269287,-0.61479,0.000201,-0.69034,0.273306
0.2,1,9,608.0,54.0,0.204,-0.1039,0.2048,1,1,1,5e-05,0.4227,0.7604,0.760419,-0.078347,0.221626,-0.624543,-0.01587,-0.71252,0.207969
0.2,2,0,32.0,90.0,0.204,0.1076,0.1922,1,1,1,7e-05,0.7099,0.673,0.158248,0.000362,0.673026,-0.337306,-0.00907,-0.303784,0.490434
0.2,2,1,96.0,90.0,0.204,0.0837,0.1922,1,1,1,8e-05,0.66,0.6255,0.239504,-0.037236,0.625453,-0.387185,0.009293,-0.358551,0.500933
0.2,2,2,160.0,90.0,0.204,0.0598,0.1922,1,1,1,9e-05,0.6136,0.576,0.322124,-0.068827,0.57598,-0.433584,0.022894,-0.412495,0.500758
0.2,2,3,224.0,90.0,0.204,0.0359,0.1922,1,1,1,3e-05,0.571,0.5249,0.405667,-0.094103,0.524912,-0.476243,0.031731,-0.46549,0.48959
0.2,2,4,288.0,90.0,0.204,0.012,0.1922,1,1,1,5e-05,0.5329,0.5164,0.488322,-0.111825,0.472958,-0.514263,0.035603,-0.516439,0.467091
0.2,2,5,352.0,90.0,0.204,-0.012,0.1922,1,1,1,6e-05,0.5,0.5684,0.568429,-0.121452,0.420806,-0.547163,0.034512,-0.56454,0.43344
0.2,2,6,416.0,90.0,0.204,-0.0359,0.1922,1,1,1,8e-05,0.4728,0.6434,0.643436,-0.122403,0.369219,-0.574425,0.028466,-0.608456,0.389103
0.2,2,7,480.0,90.0,0.204,-0.0598,0.1922,1,1,1,4e-05,0.4514,0.7106,0.71064,-0.114697,0.318739,-0.59584,0.017694,-0.646807,0.335009
0.2,2,8,544.0,90.0,0.204,-0.0837,0.1922,1,1,1,4e-05,0.4359,0.7662,0.766156,-0.098493,0.269691,-0.611269,0.002605,-0.677338,0.27239
0.2,2,9,608.0,90.0,0.204,-0.1076,0.1922,1,1,1,5e-05,0.4261,0.8072,0.807201,-0.075175,0.221754,-0.621069,-0.015797,-0.698491,0.203049
0.2,3,0,32.0,126.0,0.204,0.1116,0.1788,1,1,1,7e-05,0.7296,0.6808,0.181497,0.002254,0.680841,-0.317607,-0.003555,-0.283489,0.497502
0.2,3,1,96.0,126.0,0.204,0.0868,0.1788,1,1,1,8e-05,0.677,0.6318,0.266543,-0.037049,0.631751,-0.37023,0.016401,-0.338963,0.509884
0.2,3,2,160.0,126.0,0.204,0.062,0.1788,1,1,1,9e-05,0.628,0.5808,0.353056,-0.069808,0.580849,-0.419218,0.031081,-0.393584,0.510731
0.2,3,3,224.0,126.0,0.204,0.0372,0.1788,1,1,1,3e-05,0.5829,0.5285,0.440487,-0.095707,0.528492,-0.464314,0.040434,-0.447213,0.499675
0.2,3,4,288.0,126.0,0.204,0.0124,0.1788,1,1,1,5e-05,0.5426,0.5269,0.526865,-0.113494,0.475448,-0.504566,0.044218,-0.498721,0.476352
0.2,3,5,352.0,126.0,0.204,-0.0124,0.1788,1,1,1,6e-05,0.5078,0.6103,0.61028,-0.122624,0.422458,-0.539425,0.042414,-0.547228,0.440959
0.2,3,6,416.0,126.0,0.204,-0.0372,0.1788,1,1,1,8e-05,0.4789,0.6879,0.687872,-0.122549,0.370312,-0.568287,0.035038,-0.591292,0.394027
0.2,3,7,480.0,126.0,0.204,-0.062,0.1788,1,1,1,0.0001,0.4564,0.7562,0.756238,-0.113206,0.319563,-0.590787,0.022336,-0.629158,0.336561
