depth,row,col,u,v,tx,ty,tz,reach_ok,in_ws_box,converged,err_m,joint_margin_rad,max_joint_rad,q0,q1,q2,q3,q4,q5,q6
0.1365,0,0,327.6,342.2,0.1405,-0.0018,0.137,1,1,1,5e-05,0.4513,0.9517,0.951672,-0.274532,0.455705,-0.595851,0.125365,-0.584433,0.624311
0.304,1,0,607.1,112.3,0.308,-0.2018,0.1706,1,1,1,6e-05,0.6632,0.384,0.276882,-0.005605,-0.051513,-0.38402,-0.024623,-0.327212,-0.062457
0.3798,2,0,529.7,147.3,0.3837,-0.2036,0.1273,1,1,1,3e-05,0.9253,0.1219,-0.026674,-0.047845,-0.102923,-0.121892,0.000725,-0.081862,-0.052718
0.3729,3,0,17.6,271.3,0.3768,0.3301,-0.0095,0,0,0,,,,,,,,,,
0.2319,4,0,211.0,283.8,0.2359,0.0634,0.0814,1,1,1,8e-05,0.7995,0.5388,0.426878,0.013309,0.538763,-0.247702,0.056529,-0.191898,0.443575
0.2919,5,0,290.2,48.3,0.2958,0.0186,0.2116,1,1,1,5e-05,0.7212,0.395,0.070024,0.046792,0.394973,-0.325961,-0.009536,-0.280784,0.269564
0.5002,6,0,130.2,94.4,0.5042,0.2437,0.168,0,0,0,,,,,,,,,,
0.6384,7,0,179.5,174.7,0.6424,0.2602,0.0136,0,0,0,,,,,,,,,,
0.3747,8,0,615.5,260.9,0.3787,-0.3206,0.0024,1,1,1,7e-05,1.2942,0.2997,-0.11294,-0.212058,-0.2997,0.246955,0.027053,0.144266,-0.065153
0.632,9,0,177.2,57.8,0.6359,0.2318,0.2156,0,0,0,,,,,,,,,,
0.4241,10,0,330.3,41.7,0.4281,-0.0103,0.2248,1,1,1,8e-05,1.0586,0.4735,-0.473474,0.105971,0.160137,0.011415,-0.031221,0.066214,0.027021
0.6004,11,0,497.1,220.7,0.6043,-0.3217,-0.0618,0,1,0,,,,,,,,,,
0.3256,12,0,25.3,190.3,0.3296,0.2462,0.1035,0,0,0,,,,,,,,,,
