depth,row,col,u,v,tx,ty,tz,reach_ok,in_ws_box,converged,err_m,joint_margin_rad,max_joint_rad,q0,q1,q2,q3,q4,q5,q6
0.5977,0,0,10.6,292.8,0.6016,0.6096,-0.218,0,0,0,,,,,,,,,,
0.3762,1,0,388.2,262.6,0.3801,-0.0746,-0.0007,1,1,1,5e-05,1.1632,0.1277,-0.007617,0.073315,0.127696,0.115981,-0.001867,0.070913,0.053281
0.4878,2,0,548.7,12.1,0.4918,-0.2634,0.2608,1,1,1,9e-05,1.3288,0.8054,-0.805425,-0.249216,-0.346077,0.28234,0.086753,0.285663,-0.074312
0.3749,3,0,112.4,310.7,0.3788,0.2397,-0.0645,0,0,0,,,,,,,,,,
0.4383,4,0,79.5,241.4,0.4423,0.3092,-0.0105,0,0,0,,,,,,,,,,
0.6483,5,0,393.8,138.1,0.6523,-0.1338,0.0801,0,0,0,,,,,,,,,,
0.4403,6,0,627.7,246.8,0.4442,-0.4004,-0.0196,1,1,0,0.0171,0.6943,1.4001,-0.835691,-0.52579,-0.564441,1.400146,0.047073,0.067682,-0.00385
0.1311,7,0,440.6,140.0,0.135,-0.021,0.1881,1,1,1,5e-05,0.3941,0.9112,0.911246,-0.311585,0.392146,-0.65306,0.092371,-0.794659,0.574149
0.2361,8,0,461.8,189.1,0.2401,-0.0759,0.1388,1,1,1,4e-05,0.5448,0.6736,0.673572,-0.039201,0.2871,-0.502359,0.018104,-0.468093,0.259911
0.6104,9,0,310.9,320.2,0.6144,0.0189,-0.2975,0,1,0,,,,,,,,,,
0.2431,10,0,229.0,205.8,0.2471,0.0518,0.126,1,1,1,7e-05,0.7412,0.5159,0.358039,0.003192,0.515922,-0.305968,0.03764,-0.262287,0.422425
0.285,11,0,380.4,121.6,0.2889,-0.0392,0.1671,1,1,1,7e-05,0.6657,0.3815,0.314345,0.010032,0.306515,-0.381538,0.009866,-0.343427,0.244263
0.4239,12,0,569.8,81.8,0.4279,-0.2598,0.1865,1,1,1,6e-05,1.0605,0.3451,-0.345079,-0.155282,-0.265019,0.013344,0.038755,0.05726,-0.085011
0.5223,13,0,53.8,299.8,0.5262,0.4526,-0.1719,0,0,0,,,,,,,,,,
0.0851,14,0,153.2,315.5,0.0891,0.0059,0.1917,1,1,1,8e-05,0.3763,0.8591,0.859145,-0.452286,0.437332,-0.670888,0.138394,-0.844399,0.760924
0.3202,15,0,215.1,54.1,0.3242,0.0745,0.2093,1,1,1,3e-05,0.8801,0.4505,-0.152311,0.135019,0.450484,-0.167063,-0.04216,-0.116455,0.222051
0.0812,16,0,509.6,83.0,0.0852,-0.0029,0.1998,1,1,1,5e-05,0.3673,0.9205,0.88122,-0.472158,0.396823,-0.679851,0.141152,-0.920483,0.748228
0.1045,17,0,258.9,71.5,0.1084,0.0051,0.1997,1,1,1,6e-05,0.3869,0.8117,0.794299,-0.380743,0.452604,-0.660332,0.107729,-0.81171,0.690078
0.4532,18,0,371.4,107.5,0.4572,-0.0595,0.1568,1,1,1,7e-05,1.1857,0.458,-0.458038,0.055799,0.066903,0.138473,-0.017607,0.132493,-0.003617
0.2691,19,0,127.7,339.2,0.273,0.1488,0.002,1,1,1,5e-05,1.2416,0.6026,0.076995,0.256929,0.602554,0.194422,-0.051623,0.111459,0.221427
0.6063,20,0,67.5,226.5,0.6103,0.467,-0.0767,0,0,0,,,,,,,,,,
0.3499,21,0,281.8,343.7,0.3539,0.0421,-0.0874,1,1,1,8e-05,1.3582,0.5211,-0.202583,0.230024,0.275533,0.521079,-0.052053,0.249115,0.021527
0.6471,22,0,272.1,223.3,0.651,0.095,-0.0908,0,0,0,,,,,,,,,,
0.5046,23,0,607.3,165.6,0.5086,-0.4014,0.0713,1,1,0,0.03348,0.6983,1.3961,-1.032717,-0.554377,-0.687525,1.396133,0.04942,0.066883,0.000205
0.5215,24,0,318.4,190.6,0.5254,0.0025,0.0274,1,1,0,0.02087,0.6773,1.4171,-1.146458,0.101291,-0.055813,1.417105,-0.065563,0.070844,-0.00416
0.4767,25,0,265.4,264.4,0.4806,0.0798,-0.0709,0,1,0,,,,,,,,,,
0.4874,26,0,596.5,41.4,0.4914,-0.327,0.2297,1,1,1,8e-05,1.2737,0.8372,-0.837238,-0.362471,-0.442531,0.441309,0.111629,0.340752,-0.061636
0.6243,27,0,552.7,353.2,0.6283,-0.5212,-0.403,0,0,0,,,,,,,,,,
0.584,28,0,95.2,350.1,0.5879,0.4645,-0.3502,0,0,0,,,,,,,,,,
0.1894,29,0,526.3,172.8,0.1934,-0.0768,0.1632,1,1,1,5e-05,0.4359,0.8947,0.894658,-0.120639,0.299144,-0.611308,0.022857,-0.653698,0.319768
0.2097,30,0,513.2,332.5,0.2136,-0.1026,0.0674,1,1,1,5e-05,0.5431,0.9189,0.918902,-0.015951,0.269838,-0.504058,0.028979,-0.378844,0.222704
0.6086,31,0,344.9,159.4,0.6126,-0.043,0.0513,0,1,0,,,,,,,,,,
0.4186,32,0,25.9,263.5,0.4226,0.3671,-0.0304,0,0,0,,,,,,,,,,
0.6075,33,0,485.1,184.6,0.6114,-0.2919,0.0054,0,1,0,,,,,,,,,,
0.09,34,0,42.3,302.9,0.094,0.0148,0.1882,1,1,1,6e-05,0.3893,0.8124,0.81239,-0.423283,0.477414,-0.657912,0.129626,-0.782909,0.76243
0.6296,35,0,220.4,154.9,0.6336,0.1778,0.0537,0,1,0,,,,,,,,,,
0.195,36,0,359.8,93.2,0.199,-0.0143,0.1914,1,1,1,7e-05,0.4886,0.6001,0.600059,-0.133006,0.417821,-0.558622,0.037335,-0.582459,0.440431
0.1247,37,0,568.4,81.3,0.1287,-0.0361,0.1982,1,1,1,8e-05,0.3792,0.9737,0.973689,-0.327307,0.342227,-0.667984,0.088636,-0.89168,0.541182
0.3825,38,0,184.5,211.0,0.3864,0.1423,0.0583,1,1,1,7e-05,1.2543,0.4707,-0.470669,0.333883,0.413094,0.443256,-0.112585,0.258167,0.02813
0.2231,39,0,518.2,201.8,0.227,-0.0988,0.137,1,1,1,6e-05,0.5037,0.7832,0.783157,-0.042437,0.254444,-0.543513,0.005443,-0.516518,0.220346
0.4259,40,0,264.3,294.5,0.4299,0.0738,-0.0831,1,1,0,0.02039,0.6715,1.4229,-0.913417,0.281754,0.109559,1.422897,-0.097083,0.069858,-0.002823
0.3816,41,0,613.8,133.0,0.3855,-0.2827,0.141,1,1,1,5e-05,0.9828,0.2693,-0.11263,-0.140492,-0.269276,-0.064394,0.017428,-0.026829,-0.108542
0.1373,42,0,380.1,305.4,0.1412,-0.0141,0.1473,1,1,1,7e-05,0.4279,0.9834,0.983449,-0.28137,0.424136,-0.619331,0.115637,-0.644667,0.595508
0.5479,43,0,526.5,149.5,0.5518,-0.3122,0.0836,1,1,0,0.03428,0.6953,1.3991,-1.120018,-0.414945,-0.589067,1.399076,0.028211,0.067718,-0.001708
0.0972,44,0,6.4,131.4,0.1011,0.0208,0.196,1,1,1,4e-05,0.3978,0.7596,0.730302,-0.383615,0.50625,-0.649446,0.108573,-0.759602,0.738883
0.4716,45,0,417.7,98.6,0.4756,-0.1175,0.1653,1,1,1,4e-05,1.2288,0.5275,-0.527547,-0.017638,-0.045443,0.181562,0.001463,0.168672,-0.034411
