depth,row,col,tx,ty,tz,ik_err_m,isaac_tip_x,isaac_tip_y,isaac_tip_z,isaac_vs_target_m,joint_deviation_rad,self_collision,penetration_m,pocket_hit,pocket_pts,collision_pairs
0.25,7,0,0.1318,0.0548,0.1637,7e-05,0.1683,0.0283,0.1536,0.0462,0.12799,1,0.00029,1,74,right_hand_base_link|torso_link;right_wrist_pitch_link|torso_link;right_wrist_roll_link|torso_link;right_wrist_yaw_link|torso_link
0.25,7,1,0.1485,0.0564,0.152,5e-05,0.1616,0.0397,0.1406,0.0241,0.08585,1,0.00039,1,112,right_hand_base_link|torso_link;right_wrist_pitch_link|torso_link;right_wrist_roll_link|torso_link;right_wrist_yaw_link|torso_link
0.25,7,2,0.1653,0.0501,0.1403,5e-05,0.1698,0.0379,0.1267,0.0189,0.06055,1,0.0,1,129,right_hand_base_link|torso_link;right_wrist_pitch_link|torso_link;right_wrist_roll_link|torso_link;right_wrist_yaw_link|torso_link
0.25,7,3,0.18,0.0352,0.13,4e-05,0.1813,0.0261,0.1188,0.0146,0.04512,1,0.0,1,128,right_hand_base_link|torso_link;right_wrist_pitch_link|torso_link;right_wrist_roll_link|torso_link;right_wrist_yaw_link|torso_link
0.25,7,4,0.1888,0.0128,0.1238,5e-05,0.1899,0.0068,0.1178,0.0085,0.02882,1,0.0,1,91,right_hand_base_link|torso_link;right_wrist_pitch_link|torso_link;right_wrist_roll_link|torso_link;right_wrist_yaw_link|torso_link
0.25,7,5,0.1888,-0.0128,0.1238,6e-05,0.195,-0.0224,0.1218,0.0116,0.0475,1,7e-05,1,40,right_hand_base_link|torso_link;right_wrist_pitch_link|torso_link;right_wrist_roll_link|torso_link;right_wrist_yaw_link|torso_link
0.25,7,6,0.18,-0.0352,0.13,9e-05,0.1895,-0.0555,0.1268,0.0227,0.07633,1,0.0,1,1,right_hand_base_link|torso_link
0.25,7,7,0.1653,-0.0501,0.1403,6e-05,0.1766,-0.0753,0.139,0.0276,0.12818,1,0.00018,0,0,right_hand_base_link|torso_link
0.25,7,8,0.1485,-0.0564,0.152,4e-05,0.1615,-0.0863,0.1517,0.0326,0.15243,1,0.0,0,0,right_hand_base_link|torso_link
0.25,7,9,0.1318,-0.0548,0.1637,8e-05,0.1513,-0.0981,0.164,0.0475,0.23673,1,0.0,0,0,right_hand_Link1_1|torso_link;right_hand_base_link|torso_link
0.25,8,0,0.1585,0.0868,0.1323,3e-05,0.1847,0.0541,0.112,0.0466,0.14909,1,0.0,1,370,right_wrist_pitch_link|torso_link;right_wrist_roll_link|torso_link
0.25,8,1,0.1765,0.083,0.1168,0.0001,0.2024,0.0463,0.0971,0.0491,0.15101,1,0.0,1,605,right_wrist_pitch_link|torso_link;right_wrist_roll_link|torso_link
0.25,8,2,0.1952,0.0708,0.1006,9e-05,0.2193,0.0313,0.083,0.0495,0.14882,1,0.0,1,525,right_wrist_roll_link|torso_link
0.25,8,3,0.2116,0.0485,0.0864,9e-05,0.231,0.0113,0.0731,0.044,0.13215,1,0.0,1,408,right_wrist_roll_link|torso_link
0.25,8,4,0.2215,0.0174,0.0779,9e-05,0.2323,-0.0083,0.0699,0.029,0.08883,1,0.0,1,360,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
