depth,row,col,tx,ty,tz,state,final_ok
0.25,7,0,0.1318,0.0548,0.1637,hits pocket,0
0.25,7,1,0.1485,0.0564,0.152,hits pocket,0
0.25,7,2,0.1653,0.0501,0.1403,hits pocket,0
0.25,7,3,0.18,0.0352,0.13,hits pocket,0
0.25,7,4,0.1888,0.0128,0.1238,hits pocket,0
0.25,7,5,0.1888,-0.0128,0.1238,hits pocket,0
0.25,7,6,0.18,-0.0352,0.13,hits pocket,0
0.25,7,7,0.1653,-0.0501,0.1403,model / self-contact,0
0.25,7,8,0.1485,-0.0564,0.152,model / self-contact,0
0.25,7,9,0.1318,-0.0548,0.1637,model / self-contact,0
0.25,8,0,0.1585,0.0868,0.1323,hits pocket,0
0.25,8,1,0.1765,0.083,0.1168,hits pocket,0
0.25,8,2,0.1952,0.0708,0.1006,hits pocket,0
0.25,8,3,0.2116,0.0485,0.0864,hits pocket,0
0.25,8,4,0.2215,0.0174,0.0779,hits pocket,0
0.25,8,5,0.2215,-0.0174,0.0779,hits pocket,0
0.25,8,6,0.2116,-0.0485,0.0864,hits pocket,0
0.25,8,7,0.1952,-0.0708,0.1006,hits pocket,0
0.25,8,8,0.1765,-0.083,0.1168,model / self-contact,0
0.25,8,9,0.1585,-0.0868,0.1323,model / self-contact,0
0.25,9,0,0.1752,0.1103,0.1009,hits pocket,0
0.25,9,1,0.1944,0.1031,0.081,hits pocket,0
0.25,9,2,0.214,0.0863,0.0605,hits pocket,0
0.25,9,3,0.231,0.0583,0.0428,hits pocket,0
0.25,9,4,0.2411,0.0207,0.0323,hits pocket,0
0.25,9,5,0.2411,-0.0207,0.0323,hits pocket,0
0.25,9,6,0.231,-0.0583,0.0428,hits pocket,0
0.25,9,7,0.214,-0.0863,0.0605,hits pocket,0
0.25,9,8,0.1944,-0.1031,0.081,hits pocket,0
0.25,9,9,0.1752,-0.1103,0.1009,hits pocket,0
0.3,0,0,0.1529,0.059,0.2097,hits pocket,0
0.3,0,1,0.1561,0.0479,0.2101,hits pocket,0
0.3,0,2,0.1588,0.0355,0.2105,hits pocket,0
