depth,row,col,u,v,tx,ty,tz,reach_ok,in_ws_box,converged,err_m,joint_margin_rad,max_joint_rad,q0,q1,q2,q3,q4,q5,q6
0.25,7,0,32.0,270.0,0.1318,0.0548,0.1637,1,1,1,7e-05,0.5164,0.7025,0.614254,-0.248967,0.612104,-0.530801,0.093544,-0.516808,0.702498
0.25,7,1,96.0,270.0,0.1485,0.0564,0.152,1,1,1,5e-05,0.5531,0.6635,0.603535,-0.204323,0.605886,-0.494092,0.090557,-0.463188,0.663478
0.25,7,2,160.0,270.0,0.1653,0.0501,0.1403,1,1,1,5e-05,0.577,0.6202,0.61548,-0.168979,0.579506,-0.470236,0.089802,-0.428319,0.620248
0.25,7,3,224.0,270.0,0.18,0.0352,0.13,1,1,1,4e-05,0.5825,0.6518,0.65179,-0.14459,0.536727,-0.464717,0.089815,-0.415437,0.57435
0.25,7,4,288.0,270.0,0.1888,0.0128,0.1238,1,1,1,5e-05,0.5644,0.7158,0.715801,-0.134289,0.484652,-0.482845,0.088525,-0.430287,0.529122
0.25,7,5,352.0,270.0,0.1888,-0.0128,0.1238,1,1,1,6e-05,0.524,0.8073,0.80733,-0.13964,0.43343,-0.523183,0.084201,-0.475611,0.489409
0.25,7,6,416.0,270.0,0.18,-0.0352,0.13,1,1,1,9e-05,0.4724,0.918,0.917958,-0.1603,0.390899,-0.574752,0.078008,-0.548137,0.461471
0.25,7,7,480.0,270.0,0.1653,-0.0501,0.1403,1,1,1,6e-05,0.4248,1.0314,1.031396,-0.195427,0.358452,-0.622374,0.074863,-0.639745,0.4516
0.25,7,8,544.0,270.0,0.1485,-0.0564,0.152,1,1,1,4e-05,0.3925,1.1267,1.126677,-0.242994,0.333871,-0.654712,0.079906,-0.738969,0.463423
0.25,7,9,608.0,270.0,0.1318,-0.0548,0.1637,1,1,1,8e-05,0.378,1.1839,1.183918,-0.301265,0.316149,-0.669205,0.095136,-0.83382,0.498815
0.25,8,0,32.0,306.0,0.1585,0.0868,0.1323,1,1,1,3e-05,0.6532,0.6683,0.497594,-0.132496,0.668315,-0.394048,0.07646,-0.340449,0.642783
0.25,8,1,96.0,306.0,0.1765,0.083,0.1168,1,1,1,0.0001,0.6894,0.64,0.500945,-0.09558,0.639994,-0.357753,0.076395,-0.29806,0.598424
