depth,row,col,tx,ty,tz,ik_err_m,isaac_tip_x,isaac_tip_y,isaac_tip_z,isaac_vs_target_m,joint_deviation_rad,self_collision,penetration_m,pocket_hit,pocket_pts,collision_pairs
0.2,0,0,0.204,0.1004,0.2165,6e-05,0.201,0.102,0.2047,0.0123,0.09633,1,0.0,1,164,right_elbow_link|torso_link
0.2,0,1,0.204,0.0781,0.2165,8e-05,0.2172,0.0638,0.2056,0.0223,0.06866,1,0.0,1,116,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.2,0,2,0.204,0.0558,0.2165,9e-05,0.2171,0.0409,0.2113,0.0205,0.07215,1,0.0,1,76,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.2,0,3,0.204,0.0335,0.2165,3e-05,0.2087,0.0274,0.2133,0.0083,0.03148,1,0.0,1,72,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.2,0,4,0.204,0.0112,0.2165,5e-05,0.2039,0.0113,0.2162,0.0003,0.00262,1,7e-05,1,44,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.2,0,5,0.204,-0.0112,0.2165,6e-05,0.204,-0.0111,0.2165,0.0001,0.0,1,0.0,0,0,right_wrist_roll_link|torso_link
0.2,0,6,0.204,-0.0335,0.2165,8e-05,0.204,-0.0334,0.2165,0.0001,0.0,0,0.0,0,0,
0.2,0,7,0.204,-0.0558,0.2165,4e-05,0.204,-0.0558,0.2165,0.0,0.0,0,0.0,0,0,
0.2,0,8,0.204,-0.0781,0.2165,4e-05,0.204,-0.0781,0.2165,0.0,0.0,0,0.0,0,0,
0.2,0,9,0.204,-0.1004,0.2165,5e-05,0.204,-0.1004,0.2165,0.0,0.0,0,0.0,0,0,
0.2,1,0,0.204,0.1039,0.2048,6e-05,0.2048,0.1017,0.1922,0.0129,0.10114,1,0.0,1,180,right_elbow_link|torso_link
0.2,1,1,0.204,0.0808,0.2048,8e-05,0.2289,0.0548,0.1993,0.0364,0.11869,1,3e-05,1,138,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.2,1,2,0.204,0.0577,0.2048,9e-05,0.2196,0.0396,0.1987,0.0247,0.08558,1,0.0,1,114,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.2,1,3,0.204,0.0346,0.2048,4e-05,0.2103,0.0263,0.2008,0.0111,0.04161,1,0.0,1,90,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.2,1,4,0.204,0.0115,0.2048,5e-05,0.2058,0.0089,0.2035,0.0034,0.01377,1,0.0,1,26,right_wrist_roll_link|torso_link
0.2,1,5,0.204,-0.0115,0.2048,6e-05,0.204,-0.0115,0.2048,0.0,0.0,1,0.0,0,0,right_wrist_roll_link|torso_link
0.2,1,6,0.204,-0.0346,0.2048,8e-05,0.204,-0.0346,0.2048,0.0,0.0,0,0.0,0,0,
0.2,1,7,0.204,-0.0577,0.2048,4e-05,0.204,-0.0577,0.2048,0.0,0.0,0,0.0,0,0,
0.2,1,8,0.204,-0.0808,0.2048,4e-05,0.204,-0.0808,0.2048,0.0,0.0,0,0.0,0,0,
0.2,1,9,0.204,-0.1039,0.2048,5e-05,0.204,-0.1039,0.2048,0.0,0.0,0,0.0,0,0,
0.2,2,0,0.204,0.1076,0.1922,7e-05,0.217,0.0938,0.178,0.0237,0.09119,1,0.0,1,208,right_elbow_link|torso_link
0.2,2,1,0.204,0.0837,0.1922,8e-05,0.2254,0.0587,0.1776,0.036,0.11072,1,0.0,1,186,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.2,2,2,0.204,0.0598,0.1922,9e-05,0.2222,0.038,0.1852,0.0292,0.09967,1,0.0,1,144,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.2,2,3,0.204,0.0359,0.1922,3e-05,0.2125,0.0243,0.1874,0.0152,0.05548,1,0.0,1,90,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.2,2,4,0.204,0.012,0.1922,5e-05,0.2067,0.0076,0.1899,0.0056,0.02252,1,0.0,1,18,right_wrist_roll_link|torso_link
0.2,2,5,0.204,-0.012,0.1922,6e-05,0.204,-0.0119,0.1923,0.0001,0.0,1,0.0,0,0,right_wrist_roll_link|torso_link
0.2,2,6,0.204,-0.0359,0.1922,8e-05,0.204,-0.0358,0.1923,0.0001,0.0,0,0.0,0,0,
0.2,2,7,0.204,-0.0598,0.1922,4e-05,0.204,-0.0598,0.1922,0.0001,0.0,0,0.0,0,0,
0.2,2,8,0.204,-0.0837,0.1922,4e-05,0.204,-0.0837,0.1923,0.0001,0.0,0,0.0,0,0,
0.2,2,9,0.204,-0.1076,0.1922,5e-05,0.204,-0.1076,0.1923,0.0001,0.0,0,0.0,0,0,
0.2,3,0,0.204,0.1116,0.1788,7e-05,0.2315,0.0828,0.1631,0.0428,0.12317,1,1e-05,1,248,right_elbow_link|torso_link
0.2,3,1,0.204,0.0868,0.1788,8e-05,0.235,0.051,0.1663,0.049,0.15332,1,0.0,1,208,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.2,3,2,0.204,0.062,0.1788,9e-05,0.225,0.036,0.1707,0.0344,0.11511,1,0.0,1,166,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.2,3,3,0.204,0.0372,0.1788,3e-05,0.2147,0.0221,0.173,0.0194,0.06943,1,0.0,1,72,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.2,3,4,0.204,0.0124,0.1788,5e-05,0.2079,0.0058,0.1755,0.0084,0.03248,1,0.0,1,28,right_wrist_roll_link|torso_link
0.2,3,5,0.204,-0.0124,0.1788,6e-05,0.2038,-0.0122,0.1782,0.0007,0.00414,1,6e-05,1,6,right_wrist_roll_link|torso_link
0.2,3,6,0.204,-0.0372,0.1788,8e-05,0.204,-0.0372,0.1788,0.0,0.0,1,0.0,0,0,right_wrist_roll_link|torso_link
0.2,3,7,0.204,-0.062,0.1788,0.0001,0.2041,-0.062,0.1788,0.0001,0.0,0,0.0,0,0,
0.2,3,8,0.204,-0.0868,0.1788,4e-05,0.204,-0.0868,0.1788,0.0,0.0,0,0.0,0,0,
0.2,3,9,0.204,-0.1116,0.1788,5e-05,0.204,-0.1116,0.1788,0.0,0.0,0,0.0,0,0,
0.2,4,0,0.204,0.1159,0.1643,7e-05,0.2382,0.0757,0.1405,0.0579,0.15714,1,3e-05,1,272,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.2,4,1,0.204,0.0902,0.1643,8e-05,0.2355,0.052,0.1489,0.0519,0.15808,1,0.0,1,250,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.2,4,2,0.204,0.0644,0.1643,9e-05,0.2259,0.0357,0.154,0.0376,0.12283,1,0.0,1,234,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.2,4,3,0.204,0.0386,0.1643,3e-05,0.2164,0.0204,0.1577,0.023,0.08028,1,0.0,1,130,right_wrist_roll_link|torso_link
0.2,4,4,0.204,0.0129,0.1643,4e-05,0.2092,0.0036,0.1602,0.0114,0.04284,1,0.0,1,78,right_wrist_roll_link|torso_link
0.2,4,5,0.204,-0.0129,0.1643,6e-05,0.205,-0.0151,0.1632,0.0026,0.01184,1,0.0,1,30,right_wrist_roll_link|torso_link
0.2,4,6,0.204,-0.0386,0.1643,8e-05,0.204,-0.0386,0.1643,0.0,0.0,1,0.0,0,0,right_wrist_roll_link|torso_link
0.2,4,7,0.204,-0.0644,0.1643,9e-05,0.204,-0.0644,0.1643,0.0001,0.0,0,0.0,0,0,
0.2,4,8,0.204,-0.0902,0.1643,4e-05,0.204,-0.0902,0.1643,0.0,0.0,0,0.0,0,0,
0.2,4,9,0.204,-0.1159,0.1643,5e-05,0.204,-0.1159,0.1643,0.0,0.0,0,0.0,0,0,
0.2,5,0,0.204,0.1206,0.1486,7e-05,0.2496,0.0678,0.1263,0.0732,0.20375,1,6e-05,1,286,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.2,5,1,0.204,0.0938,0.1486,8e-05,0.2409,0.0484,0.1329,0.0606,0.18231,1,0.0,1,282,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.2,5,2,0.204,0.067,0.1486,9e-05,0.2276,0.0349,0.137,0.0415,0.13255,1,0.0,1,234,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.2,5,3,0.204,0.0402,0.1486,3e-05,0.2155,0.0212,0.1397,0.024,0.08154,1,0.0,1,147,right_wrist_roll_link|torso_link
0.2,5,4,0.204,0.0134,0.1486,4e-05,0.2107,0.001,0.1438,0.0149,0.05334,1,0.0,1,108,right_wrist_roll_link|torso_link
0.2,5,5,0.204,-0.0134,0.1486,5e-05,0.2043,-0.0152,0.1468,0.0026,0.00963,1,0.0,1,52,right_wrist_roll_link|torso_link
0.2,5,6,0.204,-0.0402,0.1486,7e-05,0.204,-0.0402,0.1486,0.0001,0.0,1,0.0,1,2,right_wrist_roll_link|torso_link
0.2,5,7,0.204,-0.067,0.1486,9e-05,0.204,-0.067,0.1486,0.0001,0.0,0,0.0,0,0,
0.2,5,8,0.204,-0.0938,0.1486,4e-05,0.204,-0.0938,0.1486,0.0,0.0,0,0.0,0,0,
0.2,5,9,0.204,-0.1206,0.1486,4e-05,0.204,-0.1206,0.1486,0.0,0.0,0,0.0,0,0,
0.2,6,0,0.204,0.1256,0.1317,7e-05,0.2427,0.0738,0.0999,0.0721,0.18247,1,0.0,1,326,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
