depth,row,col,tx,ty,tz,state,final_ok
0.2,0,0,0.204,0.1004,0.2165,hits pocket,0
0.2,0,1,0.204,0.0781,0.2165,hits pocket,0
0.2,0,2,0.204,0.0558,0.2165,hits pocket,0
0.2,0,3,0.204,0.0335,0.2165,hits pocket,0
0.2,0,4,0.204,0.0112,0.2165,hits pocket,0
0.2,0,5,0.204,-0.0112,0.2165,model / self-contact,0
0.2,0,6,0.204,-0.0335,0.2165,reachable,1
0.2,0,7,0.204,-0.0558,0.2165,reachable,1
0.2,0,8,0.204,-0.0781,0.2165,reachable,1
0.2,0,9,0.204,-0.1004,0.2165,reachable,1
0.2,1,0,0.204,0.1039,0.2048,hits pocket,0
0.2,1,1,0.204,0.0808,0.2048,hits pocket,0
0.2,1,2,0.204,0.0577,0.2048,hits pocket,0
0.2,1,3,0.204,0.0346,0.2048,hits pocket,0
0.2,1,4,0.204,0.0115,0.2048,hits pocket,0
0.2,1,5,0.204,-0.0115,0.2048,model / self-contact,0
0.2,1,6,0.204,-0.0346,0.2048,reachable,1
0.2,1,7,0.204,-0.0577,0.2048,reachable,1
0.2,1,8,0.204,-0.0808,0.2048,reachable,1
0.2,1,9,0.204,-0.1039,0.2048,reachable,1
0.2,2,0,0.204,0.1076,0.1922,hits pocket,0
0.2,2,1,0.204,0.0837,0.1922,hits pocket,0
0.2,2,2,0.204,0.0598,0.1922,hits pocket,0
0.2,2,3,0.204,0.0359,0.1922,hits pocket,0
0.2,2,4,0.204,0.012,0.1922,hits pocket,0
0.2,2,5,0.204,-0.012,0.1922,model / self-contact,0
0.2,2,6,0.204,-0.0359,0.1922,reachable,1
0.2,2,7,0.204,-0.0598,0.1922,reachable,1
0.2,2,8,0.204,-0.0837,0.1922,reachable,1
0.2,2,9,0.204,-0.1076,0.1922,reachable,1
0.2,3,0,0.204,0.1116,0.1788,hits pocket,0
0.2,3,1,0.204,0.0868,0.1788,hits pocket,0
0.2,3,2,0.204,0.062,0.1788,hits pocket,0
0.2,3,3,0.204,0.0372,0.1788,hits pocket,0
0.2,3,4,0.204,0.0124,0.1788,hits pocket,0
0.2,3,5,0.204,-0.0124,0.1788,hits pocket,0
0.2,3,6,0.204,-0.0372,0.1788,model / self-contact,0
0.2,3,7,0.204,-0.062,0.1788,reachable,1
0.2,3,8,0.204,-0.0868,0.1788,reachable,1
0.2,3,9,0.204,-0.1116,0.1788,reachable,1
0.2,4,0,0.204,0.1159,0.1643,hits pocket,0
0.2,4,1,0.204,0.0902,0.1643,hits pocket,0
0.2,4,2,0.204,0.0644,0.1643,hits pocket,0
0.2,4,3,0.204,0.0386,0.1643,hits pocket,0
0.2,4,4,0.204,0.0129,0.1643,hits pocket,0
0.2,4,5,0.204,-0.0129,0.1643,hits pocket,0
0.2,4,6,0.204,-0.0386,0.1643,model / self-contact,0
0.2,4,7,0.204,-0.0644,0.1643,reachable,1
0.2,4,8,0.204,-0.0902,0.1643,reachable,1
0.2,4,9,0.204,-0.1159,0.1643,reachable,1
0.2,5,0,0.204,0.1206,0.1486,hits pocket,0
0.2,5,1,0.204,0.0938,0.1486,hits pocket,0
0.2,5,2,0.204,0.067,0.1486,hits pocket,0
0.2,5,3,0.204,0.0402,0.1486,hits pocket,0
0.2,5,4,0.204,0.0134,0.1486,hits pocket,0
0.2,5,5,0.204,-0.0134,0.1486,hits pocket,0
0.2,5,6,0.204,-0.0402,0.1486,hits pocket,0
0.2,5,7,0.204,-0.067,0.1486,reachable,1
0.2,5,8,0.204,-0.0938,0.1486,reachable,1
0.2,5,9,0.204,-0.1206,0.1486,reachable,1
0.2,6,0,0.204,0.1256,0.1317,hits pocket,0
0.2,6,1,0.204,0.0977,0.1317,hits pocket,0
0.2,6,2,0.204,0.0698,0.1317,hits pocket,0
0.2,6,3,0.204,0.0419,0.1317,hits pocket,0
0.2,6,4,0.204,0.014,0.1317,hits pocket,0
0.2,6,5,0.204,-0.014,0.1317,hits pocket,0
0.2,6,6,0.204,-0.0419,0.1317,hits pocket,0
0.2,6,7,0.204,-0.0698,0.1317,reachable,1
0.2,6,8,0.204,-0.0977,0.1317,reachable,1
0.2,6,9,0.204,-0.1256,0.1317,reachable,1
0.2,7,0,0.204,0.1311,0.1132,hits pocket,0
0.2,7,1,0.204,0.102,0.1132,hits pocket,0
0.2,7,2,0.204,0.0728,0.1132,hits pocket,0
0.2,7,3,0.204,0.0437,0.1132,hits pocket,0
0.2,7,4,0.204,0.0146,0.1132,hits pocket,0
0.2,7,5,0.204,-0.0146,0.1132,hits pocket,0
0.2,7,6,0.204,-0.0437,0.1132,hits pocket,0
0.2,7,7,0.204,-0.0728,0.1132,hits pocket,0
0.2,7,8,0.204,-0.102,0.1132,reachable,1
0.2,7,9,0.204,-0.1311,0.1132,reachable,1
0.2,8,0,0.204,0.1371,0.0931,hits pocket,0
0.2,8,1,0.204,0.1066,0.0931,hits pocket,0
0.2,8,2,0.204,0.0762,0.0931,hits pocket,0
0.2,8,3,0.204,0.0457,0.0931,hits pocket,0
0.2,8,4,0.204,0.0152,0.0931,hits pocket,0
0.2,8,5,0.204,-0.0152,0.0931,hits pocket,0
0.2,8,6,0.204,-0.0457,0.0931,hits pocket,0
0.2,8,7,0.204,-0.0762,0.0931,hits pocket,0
0.2,8,8,0.204,-0.1066,0.0931,hits pocket,0
0.2,8,9,0.204,-0.1371,0.0931,reachable,1
0.2,9,0,0.204,0.1437,0.071,hits pocket,0
0.2,9,1,0.204,0.1117,0.071,hits pocket,0
0.2,9,2,0.204,0.0798,0.071,hits pocket,0
0.2,9,3,0.204,0.0479,0.071,hits pocket,0
0.2,9,4,0.204,0.016,0.071,hits pocket,0
0.2,9,5,0.204,-0.016,0.071,hits pocket,0
0.2,9,6,0.204,-0.0479,0.071,hits pocket,0
0.2,9,7,0.204,-0.0798,0.071,hits pocket,0
0.2,9,8,0.204,-0.1117,0.071,hits pocket,0
0.2,9,9,0.204,-0.1437,0.071,reachable,1
0.25,0,0,0.254,0.1409,0.2231,hits pocket,0
0.25,0,1,0.254,0.1096,0.2231,hits pocket,0
0.25,0,2,0.254,0.0783,0.2231,hits pocket,0
0.25,0,3,0.254,0.047,0.2231,hits pocket,0
0.25,0,4,0.254,0.0157,0.2231,hits pocket,0
0.25,0,5,0.254,-0.0157,0.2231,hits pocket,0
0.25,0,6,0.254,-0.047,0.2231,reachable,1
0.25,0,7,0.254,-0.0783,0.2231,reachable,1
0.25,0,8,0.254,-0.1096,0.2231,reachable,1
0.25,0,9,0.254,-0.1409,0.2231,reachable,1
0.25,1,0,0.254,0.1458,0.2067,hits pocket,0
0.25,1,1,0.254,0.1134,0.2067,hits pocket,0
0.25,1,2,0.254,0.081,0.2067,hits pocket,0
0.25,1,3,0.254,0.0486,0.2067,hits pocket,0
0.25,1,4,0.254,0.0162,0.2067,hits pocket,0
0.25,1,5,0.254,-0.0162,0.2067,hits pocket,0
0.25,1,6,0.254,-0.0486,0.2067,reachable,1
0.25,1,7,0.254,-0.081,0.2067,reachable,1
0.25,1,8,0.254,-0.1134,0.2067,reachable,1
0.25,1,9,0.254,-0.1458,0.2067,reachable,1
0.25,2,0,0.254,0.151,0.1891,hits pocket,0
0.25,2,1,0.254,0.1175,0.1891,hits pocket,0
0.25,2,2,0.254,0.0839,0.1891,hits pocket,0
0.25,2,3,0.254,0.0503,0.1891,hits pocket,0
0.25,2,4,0.254,0.0168,0.1891,hits pocket,0
0.25,2,5,0.254,-0.0168,0.1891,hits pocket,0
0.25,2,6,0.254,-0.0503,0.1891,reachable,1
0.25,2,7,0.254,-0.0839,0.1891,reachable,1
0.25,2,8,0.254,-0.1175,0.1891,reachable,1
0.25,2,9,0.254,-0.151,0.1891,reachable,1
0.25,3,0,0.254,0.1566,0.1702,hits pocket,0
0.25,3,1,0.254,0.1218,0.1702,hits pocket,0
0.25,3,2,0.254,0.087,0.1702,hits pocket,0
0.25,3,3,0.254,0.0522,0.1702,hits pocket,0
0.25,3,4,0.254,0.0174,0.1702,hits pocket,0
0.25,3,5,0.254,-0.0174,0.1702,hits pocket,0
0.25,3,6,0.254,-0.0522,0.1702,reachable,1
0.25,3,7,0.254,-0.087,0.1702,reachable,1
0.25,3,8,0.254,-0.1218,0.1702,reachable,1
0.25,3,9,0.254,-0.1566,0.1702,reachable,1
0.25,4,0,0.254,0.1627,0.1499,hits pocket,0
0.25,4,1,0.254,0.1265,0.1499,hits pocket,0
0.25,4,2,0.254,0.0904,0.1499,hits pocket,0
0.25,4,3,0.254,0.0542,0.1499,hits pocket,0
0.25,4,4,0.254,0.0181,0.1499,hits pocket,0
0.25,4,5,0.254,-0.0181,0.1499,hits pocket,0
