idx,depth,u,v,tx,ty,tz,state,final_ok
0,0.5977,10.6,292.8,0.6016,0.6096,-0.218,outside workspace box,0
1,0.3762,388.2,262.6,0.3801,-0.0746,-0.0007,model / self-contact,0
2,0.4878,548.7,12.1,0.4918,-0.2634,0.2608,reachable,1
3,0.3749,112.4,310.7,0.3788,0.2397,-0.0645,outside workspace box,0
4,0.4383,79.5,241.4,0.4423,0.3092,-0.0105,outside workspace box,0
5,0.6483,393.8,138.1,0.6523,-0.1338,0.0801,outside workspace box,0
6,0.4403,627.7,246.8,0.4442,-0.4004,-0.0196,model / self-contact,0
7,0.1311,440.6,140.0,0.135,-0.021,0.1881,model / self-contact,0
8,0.2361,461.8,189.1,0.2401,-0.0759,0.1388,reachable,1
9,0.6104,310.9,320.2,0.6144,0.0189,-0.2975,IK fails,0
10,0.2431,229.0,205.8,0.2471,0.0518,0.126,hits pocket,0
11,0.285,380.4,121.6,0.2889,-0.0392,0.1671,hits pocket,0
12,0.4239,569.8,81.8,0.4279,-0.2598,0.1865,reachable,1
13,0.5223,53.8,299.8,0.5262,0.4526,-0.1719,outside workspace box,0
14,0.0851,153.2,315.5,0.0891,0.0059,0.1917,model / self-contact,0
15,0.3202,215.1,54.1,0.3242,0.0745,0.2093,hits pocket,0
16,0.0812,509.6,83.0,0.0852,-0.0029,0.1998,model / self-contact,0
17,0.1045,258.9,71.5,0.1084,0.0051,0.1997,model / self-contact,0
18,0.4532,371.4,107.5,0.4572,-0.0595,0.1568,reachable,1
19,0.2691,127.7,339.2,0.273,0.1488,0.002,hits pocket,0
20,0.6063,67.5,226.5,0.6103,0.467,-0.0767,outside workspace box,0
21,0.3499,281.8,343.7,0.3539,0.0421,-0.0874,hits pocket,0
22,0.6471,272.1,223.3,0.651,0.095,-0.0908,outside workspace box,0
23,0.5046,607.3,165.6,0.5086,-0.4014,0.0713,model / self-contact,0
24,0.5215,318.4,190.6,0.5254,0.0025,0.0274,model / self-contact,0
25,0.4767,265.4,264.4,0.4806,0.0798,-0.0709,IK fails,0
26,0.4874,596.5,41.4,0.4914,-0.327,0.2297,reachable,1
27,0.6243,552.7,353.2,0.6283,-0.5212,-0.403,outside workspace box,0
28,0.584,95.2,350.1,0.5879,0.4645,-0.3502,outside workspace box,0
29,0.1894,526.3,172.8,0.1934,-0.0768,0.1632,reachable,1
30,0.2097,513.2,332.5,0.2136,-0.1026,0.0674,hits pocket,0
31,0.6086,344.9,159.4,0.6126,-0.043,0.0513,IK fails,0
32,0.4186,25.9,263.5,0.4226,0.3671,-0.0304,outside workspace box,0
33,0.6075,485.1,184.6,0.6114,-0.2919,0.0054,IK fails,0
34,0.09,42.3,302.9,0.094,0.0148,0.1882,model / self-contact,0
35,0.6296,220.4,154.9,0.6336,0.1778,0.0537,IK fails,0
36,0.195,359.8,93.2,0.199,-0.0143,0.1914,model / self-contact,0
37,0.1247,568.4,81.3,0.1287,-0.0361,0.1982,model / self-contact,0
38,0.3825,184.5,211.0,0.3864,0.1423,0.0583,hits pocket,0
39,0.2231,518.2,201.8,0.227,-0.0988,0.137,reachable,1
40,0.4259,264.3,294.5,0.4299,0.0738,-0.0831,model / self-contact,0
41,0.3816,613.8,133.0,0.3855,-0.2827,0.141,reachable,1
42,0.1373,380.1,305.4,0.1412,-0.0141,0.1473,model / self-contact,0
43,0.5479,526.5,149.5,0.5518,-0.3122,0.0836,model / self-contact,0
44,0.0972,6.4,131.4,0.1011,0.0208,0.196,model / self-contact,0
45,0.4716,417.7,98.6,0.4756,-0.1175,0.1653,reachable,1
46,0.5689,604.0,45.7,0.5728,-0.4041,0.23,IK fails,0
47,0.3079,38.1,137.1,0.3118,0.2067,0.1522,outside workspace box,0
48,0.5154,312.9,351.5,0.5194,0.0128,-0.2792,IK fails,0
49,0.5679,197.7,97.1,0.5718,0.1827,0.1589,IK fails,0
