depth,row,col,tx,ty,tz,state,final_ok
0.3,0,0,0.4133,0.27,0.2442,outside workspace box,0
0.3,0,1,0.4133,0.21,0.2442,outside workspace box,0
0.3,0,2,0.4133,0.15,0.2442,model / self-contact,0
0.3,0,3,0.4133,0.09,0.2442,hits pocket,0
0.3,0,4,0.4133,0.03,0.2442,hits pocket,0
0.3,0,5,0.4133,-0.03,0.2442,hits pocket,0
0.3,0,6,0.4133,-0.09,0.2442,reachable,1
0.3,0,7,0.4133,-0.15,0.2442,reachable,1
0.3,0,8,0.4133,-0.21,0.2442,reachable,1
0.3,0,9,0.4133,-0.27,0.2442,reachable,1
0.3,1,0,0.4022,0.27,0.2124,outside workspace box,0
0.3,1,1,0.4022,0.21,0.2124,outside workspace box,0
0.3,1,2,0.4022,0.15,0.2124,model / self-contact,0
0.3,1,3,0.4022,0.09,0.2124,hits pocket,0
0.3,1,4,0.4022,0.03,0.2124,hits pocket,0
0.3,1,5,0.4022,-0.03,0.2124,hits pocket,0
0.3,1,6,0.4022,-0.09,0.2124,reachable,1
0.3,1,7,0.4022,-0.15,0.2124,reachable,1
0.3,1,8,0.4022,-0.21,0.2124,reachable,1
0.3,1,9,0.4022,-0.27,0.2124,reachable,1
0.3,2,0,0.391,0.27,0.1805,outside workspace box,0
0.3,2,1,0.391,0.21,0.1805,outside workspace box,0
0.3,2,2,0.391,0.15,0.1805,hits pocket,0
0.3,2,3,0.391,0.09,0.1805,hits pocket,0
0.3,2,4,0.391,0.03,0.1805,hits pocket,0
0.3,2,5,0.391,-0.03,0.1805,hits pocket,0
0.3,2,6,0.391,-0.09,0.1805,reachable,1
0.3,2,7,0.391,-0.15,0.1805,reachable,1
0.3,2,8,0.391,-0.21,0.1805,reachable,1
0.3,2,9,0.391,-0.27,0.1805,reachable,1
0.3,3,0,0.3799,0.27,0.1487,outside workspace box,0
0.3,3,1,0.3799,0.21,0.1487,outside workspace box,0
0.3,3,2,0.3799,0.15,0.1487,hits pocket,0
0.3,3,3,0.3799,0.09,0.1487,hits pocket,0
0.3,3,4,0.3799,0.03,0.1487,hits pocket,0
0.3,3,5,0.3799,-0.03,0.1487,hits pocket,0
0.3,3,6,0.3799,-0.09,0.1487,model / self-contact,0
0.3,3,7,0.3799,-0.15,0.1487,reachable,1
0.3,3,8,0.3799,-0.21,0.1487,reachable,1
0.3,3,9,0.3799,-0.27,0.1487,reachable,1
0.3,4,0,0.3687,0.27,0.1168,outside workspace box,0
0.3,4,1,0.3687,0.21,0.1168,outside workspace box,0
0.3,4,2,0.3687,0.15,0.1168,hits pocket,0
0.3,4,3,0.3687,0.09,0.1168,hits pocket,0
