depth,row,col,u,v,tx,ty,tz,reach_ok,in_ws_box,converged,err_m,joint_margin_rad,max_joint_rad,q0,q1,q2,q3,q4,q5,q6
0.3,0,0,32.0,18.0,0.4133,0.27,0.2442,0,0,0,,,,,,,,,,
0.3,0,1,96.0,18.0,0.4133,0.21,0.2442,0,0,0,,,,,,,,,,
0.3,0,2,160.0,18.0,0.4133,0.15,0.2442,1,1,1,8e-05,1.2716,0.8388,-0.838823,0.316621,0.346565,0.310385,-0.138763,0.273754,-0.016319
0.3,0,3,224.0,18.0,0.4133,0.09,0.2442,1,1,1,4e-05,1.1717,0.6437,-0.643698,0.224975,0.302825,0.124518,-0.088666,0.16154,0.022546
0.3,0,4,288.0,18.0,0.4133,0.03,0.2442,1,1,1,8e-05,1.0522,0.5114,-0.511363,0.148264,0.231452,0.005023,-0.049189,0.070168,0.041729
0.3,0,5,352.0,18.0,0.4133,-0.03,0.2442,1,1,1,3e-05,0.9744,0.4219,-0.42191,0.084561,0.142624,-0.07282,-0.021232,0.004512,0.034865
0.3,0,6,416.0,18.0,0.4133,-0.09,0.2442,1,1,1,6e-05,0.9291,0.3681,-0.368101,0.027912,0.041373,-0.118071,-0.001683,-0.03398,0.006636
0.3,0,7,480.0,18.0,0.4133,-0.15,0.2442,1,1,1,6e-05,0.9147,0.3479,-0.347872,-0.028748,-0.069543,-0.13253,0.014106,-0.043617,-0.033307
0.3,0,8,544.0,18.0,0.4133,-0.21,0.2442,1,1,1,8e-05,0.931,0.3582,-0.35819,-0.09236,-0.187212,-0.116204,0.031197,-0.024165,-0.072838
0.3,0,9,608.0,18.0,0.4133,-0.27,0.2442,1,1,1,4e-05,0.98,0.3963,-0.396281,-0.168876,-0.308483,-0.067172,0.054296,0.023727,-0.10021
0.3,1,0,32.0,54.0,0.4022,0.27,0.2124,0,0,0,,,,,,,,,,
0.3,1,1,96.0,54.0,0.4022,0.21,0.2124,0,0,0,,,,,,,,,,
0.3,1,2,160.0,54.0,0.4022,0.15,0.2124,1,1,1,9e-05,1.2704,0.7072,-0.707171,0.317833,0.387196,0.273371,-0.132479,0.236634,0.010377
0.3,1,3,224.0,54.0,0.4022,0.09,0.2124,1,1,1,6e-05,1.1456,0.5207,-0.520748,0.221406,0.337513,0.098411,-0.081382,0.122947,0.05549
0.3,1,4,288.0,54.0,0.4022,0.03,0.2124,1,1,1,4e-05,1.0304,0.3912,-0.391212,0.145083,0.262076,-0.016796,-0.043555,0.032003,0.073815
