depth,row,col,tx,ty,tz,ik_err_m,isaac_tip_x,isaac_tip_y,isaac_tip_z,isaac_vs_target_m,joint_deviation_rad,self_collision,penetration_m,pocket_hit,pocket_pts,collision_pairs
0.25,0,0,0.1333,0.0431,0.2071,0.0001,0.1628,0.0287,0.199,0.0338,0.10729,1,0.0009,0,0,logo_link|right_hand_base_link;right_hand_base_link|torso_link;right_wrist_pitch_link|torso_link;right_wrist_roll_link|torso_link
0.25,0,1,0.1353,0.0348,0.2073,4e-05,0.1647,0.0217,0.1986,0.0334,0.12483,1,3e-05,0,0,logo_link|right_hand_base_link;right_hand_base_link|torso_link;right_wrist_pitch_link|torso_link;right_wrist_roll_link|torso_link
0.25,0,2,0.137,0.0256,0.2076,5e-05,0.1657,0.0126,0.1989,0.0327,0.13683,1,0.00214,0,0,logo_link|right_hand_base_link;right_hand_Link1_1|torso_link;right_hand_base_link|torso_link;right_wrist_pitch_link|torso_link;right_wrist_roll_link|torso_link;right_wrist_yaw_link|torso_link
0.25,0,3,0.1382,0.0157,0.2077,6e-05,0.1676,0.0015,0.1975,0.0342,0.13899,1,0.00032,0,0,right_hand_Link1_1|torso_link;right_hand_base_link|torso_link;right_wrist_yaw_link|torso_link
0.25,0,4,0.1389,0.0053,0.2078,7e-05,0.1672,-0.0128,0.2003,0.0344,0.14441,1,0.00075,0,0,right_hand_base_link|torso_link;right_wrist_yaw_link|torso_link
0.25,0,5,0.1389,-0.0053,0.2078,9e-05,0.1677,-0.027,0.2007,0.0368,0.1593,1,0.00124,0,0,right_hand_base_link|torso_link
0.25,0,6,0.1382,-0.0157,0.2077,5e-05,0.166,-0.0512,0.2112,0.0452,0.21815,1,0.00074,0,0,right_hand_base_link|torso_link
0.25,0,7,0.137,-0.0256,0.2076,6e-05,0.1606,-0.06,0.2118,0.0419,0.19637,1,0.00027,0,0,right_hand_base_link|torso_link
0.25,0,8,0.1353,-0.0348,0.2073,7e-05,0.156,-0.0686,0.2122,0.0399,0.19021,1,0.0,0,0,right_hand_base_link|torso_link
0.25,0,9,0.1333,-0.0431,0.2071,9e-05,0.1506,-0.0733,0.2116,0.0351,0.1663,1,0.00034,0,0,right_hand_Link1_1|torso_link;right_hand_base_link|torso_link
