depth,row,col,tx,ty,tz,state,final_ok
0.25,0,0,0.1333,0.0431,0.2071,model / self-contact,0
0.25,0,1,0.1353,0.0348,0.2073,model / self-contact,0
0.25,0,2,0.137,0.0256,0.2076,model / self-contact,0
0.25,0,3,0.1382,0.0157,0.2077,model / self-contact,0
0.25,0,4,0.1389,0.0053,0.2078,model / self-contact,0
0.25,0,5,0.1389,-0.0053,0.2078,model / self-contact,0
0.25,0,6,0.1382,-0.0157,0.2077,model / self-contact,0
0.25,0,7,0.137,-0.0256,0.2076,model / self-contact,0
0.25,0,8,0.1353,-0.0348,0.2073,model / self-contact,0
0.25,0,9,0.1333,-0.0431,0.2071,model / self-contact,0
0.25,1,0,0.1385,0.049,0.2023,hits pocket,0
0.25,1,1,0.1413,0.0399,0.2024,model / self-contact,0
0.25,1,2,0.1437,0.0296,0.2024,model / self-contact,0
0.25,1,3,0.1454,0.0183,0.2025,model / self-contact,0
0.25,1,4,0.1464,0.0062,0.2026,model / self-contact,0
0.25,1,5,0.1464,-0.0062,0.2026,model / self-contact,0
0.25,1,6,0.1454,-0.0183,0.2025,model / self-contact,0
0.25,1,7,0.1437,-0.0296,0.2024,model / self-contact,0
0.25,1,8,0.1413,-0.0399,0.2024,model / self-contact,0
0.25,1,9,0.1385,-0.049,0.2023,model / self-contact,0
0.25,2,0,0.1447,0.0562,0.1959,hits pocket,0
0.25,2,1,0.1485,0.0463,0.1957,hits pocket,0
0.25,2,2,0.1519,0.0347,0.1955,model / self-contact,0
0.25,2,3,0.1545,0.0216,0.1953,model / self-contact,0
0.25,2,4,0.156,0.0073,0.1952,model / self-contact,0
0.25,2,5,0.156,-0.0073,0.1952,model / self-contact,0
0.25,2,6,0.1545,-0.0216,0.1953,model / self-contact,0
0.25,2,7,0.1519,-0.0347,0.1955,model / self-contact,0
0.25,2,8,0.1485,-0.0463,0.1957,model / self-contact,0
0.25,2,9,0.1447,-0.0562,0.1959,model / self-contact,0
0.25,3,0,0.1519,0.0648,0.1877,hits pocket,0
0.25,3,1,0.1571,0.054,0.1868,hits pocket,0
0.25,3,2,0.162,0.041,0.186,hits pocket,0
0.25,3,3,0.1658,0.0258,0.1853,hits pocket,0
0.25,3,4,0.168,0.0088,0.1849,model / self-contact,0
0.25,3,5,0.168,-0.0088,0.1849,model / self-contact,0
0.25,3,6,0.1658,-0.0258,0.1853,model / self-contact,0
0.25,3,7,0.162,-0.041,0.186,model / self-contact,0
0.25,3,8,0.1571,-0.054,0.1868,model / self-contact,0
0.25,3,9,0.1519,-0.0648,0.1877,model / self-contact,0
0.25,4,0,0.16,0.0748,0.177,hits pocket,0
0.25,4,1,0.167,0.0633,0.1749,hits pocket,0
0.25,4,2,0.1738,0.0487,0.173,hits pocket,0
0.25,4,3,0.1794,0.031,0.1714,hits pocket,0
0.25,4,4,0.1826,0.0107,0.1705,hits pocket,0
0.25,4,5,0.1826,-0.0107,0.1705,model / self-contact,0
0.25,4,6,0.1794,-0.031,0.1714,model / self-contact,0
0.25,4,7,0.1738,-0.0487,0.173,model / self-contact,0
0.25,4,8,0.167,-0.0633,0.1749,model / self-contact,0
0.25,4,9,0.16,-0.0748,0.177,model / self-contact,0
0.25,5,0,0.1686,0.0861,0.1633,hits pocket,0
0.25,5,1,0.1777,0.0739,0.1595,hits pocket,0
0.25,5,2,0.1869,0.0577,0.1557,hits pocket,0
0.25,5,3,0.1946,0.0371,0.1525,hits pocket,0
0.25,5,4,0.1991,0.0129,0.1506,hits pocket,0
0.25,5,5,0.1991,-0.0129,0.1506,hits pocket,0
0.25,5,6,0.1946,-0.0371,0.1525,reachable,1
0.25,5,7,0.1869,-0.0577,0.1557,model / self-contact,0
0.25,5,8,0.1777,-0.0739,0.1595,model / self-contact,0
0.25,5,9,0.1686,-0.0861,0.1633,model / self-contact,0
0.25,6,0,0.1771,0.0984,0.1465,hits pocket,0
0.25,6,1,0.1885,0.0855,0.1402,hits pocket,0
0.25,6,2,0.2001,0.0676,0.1338,hits pocket,0
0.25,6,3,0.21,0.0439,0.1283,hits pocket,0
0.25,6,4,0.2159,0.0153,0.1251,hits pocket,0
0.25,6,5,0.2159,-0.0153,0.1251,hits pocket,0
0.25,6,6,0.21,-0.0439,0.1283,hits pocket,0
0.25,6,7,0.2001,-0.0676,0.1338,reachable,1
0.25,6,8,0.1885,-0.0855,0.1402,reachable,1
0.25,6,9,0.1771,-0.0984,0.1465,reachable,1
0.25,7,0,0.1849,0.1109,0.1266,hits pocket,0
0.25,7,1,0.1982,0.0973,0.1172,hits pocket,0
0.25,7,2,0.2119,0.0775,0.1076,hits pocket,0
0.25,7,3,0.2237,0.0507,0.0994,hits pocket,0
0.25,7,4,0.2308,0.0177,0.0944,hits pocket,0
0.25,7,5,0.2308,-0.0177,0.0944,hits pocket,0
0.25,7,6,0.2237,-0.0507,0.0994,hits pocket,0
0.25,7,7,0.2119,-0.0775,0.1076,hits pocket,0
0.25,7,8,0.1982,-0.0973,0.1172,reachable,1
0.25,7,9,0.1849,-0.1109,0.1266,reachable,1
0.25,8,0,0.1912,0.1229,0.1041,hits pocket,0
0.25,8,1,0.206,0.1083,0.0913,hits pocket,0
0.25,8,2,0.221,0.0867,0.0783,hits pocket,0
0.25,8,3,0.234,0.0568,0.0671,hits pocket,0
0.25,8,4,0.2418,0.0199,0.0605,hits pocket,0
0.25,8,5,0.2418,-0.0199,0.0605,hits pocket,0
0.25,8,6,0.234,-0.0568,0.0671,hits pocket,0
0.25,8,7,0.221,-0.0867,0.0783,hits pocket,0
0.25,8,8,0.206,-0.1083,0.0913,hits pocket,0
0.25,8,9,0.1912,-0.1229,0.1041,reachable,1
0.25,9,0,0.1955,0.1338,0.0798,hits pocket,0
0.25,9,1,0.211,0.118,0.0637,hits pocket,0
0.25,9,2,0.2266,0.0944,0.0475,hits pocket,0
