depth,row,col,u,v,tx,ty,tz,reach_ok,in_ws_box,converged,err_m,joint_margin_rad,max_joint_rad,q0,q1,q2,q3,q4,q5,q6
0.25,0,0,32.0,18.0,0.1333,0.0431,0.2071,1,1,1,0.0001,0.4629,0.6541,0.511099,-0.243105,0.583943,-0.584296,0.056474,-0.623681,0.654069
0.25,0,1,96.0,18.0,0.1353,0.0348,0.2073,1,1,1,4e-05,0.4513,0.6464,0.546356,-0.251365,0.558038,-0.595889,0.059963,-0.646437,0.642829
0.25,0,2,160.0,18.0,0.137,0.0256,0.2076,1,1,1,5e-05,0.4391,0.6722,0.586465,-0.259793,0.529944,-0.608124,0.063218,-0.672246,0.629673
0.25,0,3,224.0,18.0,0.1382,0.0157,0.2077,1,1,1,6e-05,0.4265,0.7014,0.63164,-0.268391,0.499926,-0.620675,0.066222,-0.701373,0.614582
0.25,0,4,288.0,18.0,0.1389,0.0053,0.2078,1,1,1,7e-05,0.4142,0.7336,0.681355,-0.276796,0.468681,-0.632951,0.068832,-0.73357,0.597659
0.25,0,5,352.0,18.0,0.1389,-0.0053,0.2078,1,1,1,9e-05,0.4029,0.7683,0.734503,-0.284584,0.437147,-0.644258,0.070916,-0.768255,0.579222
0.25,0,6,416.0,18.0,0.1382,-0.0157,0.2077,1,1,1,5e-05,0.3933,0.8049,0.789824,-0.291602,0.406202,-0.653946,0.072525,-0.804868,0.559818
0.25,0,7,480.0,18.0,0.137,-0.0256,0.2076,1,1,1,6e-05,0.3857,0.8449,0.844946,-0.297108,0.377036,-0.661508,0.073363,-0.84184,0.539975
0.25,0,8,544.0,18.0,0.1353,-0.0348,0.2073,1,1,1,7e-05,0.3804,0.8984,0.898449,-0.301176,0.350193,-0.666771,0.073552,-0.878399,0.520316
0.25,0,9,608.0,18.0,0.1333,-0.0431,0.2071,1,1,1,9e-05,0.3774,0.949,0.949036,-0.303831,0.326026,-0.669807,0.073149,-0.913695,0.50132
0.25,1,0,32.0,54.0,0.1385,0.049,0.2023,1,1,1,8e-05,0.4838,0.649,0.492362,-0.223945,0.59847,-0.563415,0.054849,-0.587788,0.648951
0.25,1,1,96.0,54.0,0.1413,0.0399,0.2024,1,1,1,9e-05,0.4713,0.6366,0.528843,-0.231519,0.571018,-0.575883,0.058391,-0.60981,0.636606
0.25,1,2,160.0,54.0,0.1437,0.0296,0.2024,1,1,1,4e-05,0.4574,0.6361,0.571824,-0.239987,0.540457,-0.58981,0.06185,-0.636069,0.622041
0.25,1,3,224.0,54.0,0.1454,0.0183,0.2025,1,1,1,5e-05,0.4426,0.6663,0.621032,-0.248598,0.507495,-0.604628,0.064794,-0.666344,0.605006
0.25,1,4,288.0,54.0,0.1464,0.0062,0.2026,1,1,1,6e-05,0.4275,0.7007,0.676173,-0.2572,0.47289,-0.619692,0.067125,-0.70068,0.58566
0.25,1,5,352.0,54.0,0.1464,-0.0062,0.2026,1,1,1,8e-05,0.4132,0.7384,0.735842,-0.265291,0.4379,-0.634022,0.068688,-0.738399,0.564447
0.25,1,6,416.0,54.0,0.1454,-0.0183,0.2025,1,1,1,0.0001,0.4006,0.7979,0.797864,-0.272375,0.403922,-0.646597,0.069421,-0.778354,0.54211
0.25,1,7,480.0,54.0,0.1437,-0.0296,0.2024,1,1,1,5e-05,0.3906,0.8601,0.860122,-0.278335,0.372025,-0.656644,0.0695,-0.8195,0.519574
0.25,1,8,544.0,54.0,0.1413,-0.0399,0.2024,1,1,1,7e-05,0.3834,0.9197,0.919692,-0.282556,0.343274,-0.663782,0.068771,-0.859877,0.497563
0.25,1,9,608.0,54.0,0.1385,-0.049,0.2023,1,1,1,8e-05,0.3791,0.9752,0.975231,-0.285288,0.317884,-0.668098,0.067481,-0.898651,0.476711
0.25,2,0,32.0,90.0,0.1447,0.0562,0.1959,1,1,1,6e-05,0.5102,0.6422,0.471089,-0.20133,0.614351,-0.536967,0.05323,-0.545763,0.642212
0.25,2,1,96.0,90.0,0.1485,0.0463,0.1957,1,1,1,7e-05,0.4972,0.6286,0.508612,-0.208003,0.585083,-0.54997,0.05708,-0.566381,0.628624
0.25,2,2,160.0,90.0,0.1519,0.0347,0.1955,1,1,1,8e-05,0.482,0.6123,0.553681,-0.215508,0.552056,-0.565248,0.060609,-0.591777,0.612262
0.25,2,3,224.0,90.0,0.1545,0.0216,0.1953,1,1,1,3e-05,0.4646,0.6227,0.607138,-0.223921,0.515619,-0.582633,0.063589,-0.622749,0.592921
0.25,2,4,288.0,90.0,0.156,0.0073,0.1952,1,1,1,4e-05,0.446,0.6681,0.668143,-0.232418,0.477127,-0.60116,0.065503,-0.658932,0.570602
0.25,2,5,352.0,90.0,0.156,-0.0073,0.1952,1,1,1,6e-05,0.4276,0.7352,0.735185,-0.240664,0.438182,-0.619552,0.066239,-0.69979,0.545974
